zone_name,geometry
zona_058,"POLYGON((-77.06428860525898 -12.211101985097716, -77.06888413533116 -12.20332238211726, -77.07807519547549 -12.20332238211726, -77.08267072554767 -12.211101985097716, -77.07807519547549 -12.218881588078172, -77.06888413533116 -12.218881588078172, -77.06428860525898 -12.211101985097716))"
zona_059,"POLYGON((-77.05049971586675 -12.218881588078172, -77.05509538102099 -12.211101985097716, -77.06428671132947 -12.211101985097716, -77.06888237648371 -12.218881588078172, -77.06428671132947 -12.226661191058628, -77.05509538102099 -12.226661191058628, -77.05049971586675 -12.218881588078172))"
zona_060,"POLYGON((-77.03671136680279 -12.211101985097716, -77.04130689687497 -12.20332238211726, -77.0504979570193 -12.20332238211726, -77.05509348709148 -12.211101985097716, -77.0504979570193 -12.218881588078172, -77.04130689687497 -12.218881588078172, -77.03671136680279 -12.211101985097716))"
zona_061,"POLYGON((-77.02292247741056 -12.218881588078172, -77.0275181425648 -12.211101985097716, -77.03670947287328 -12.211101985097716, -77.04130513802752 -12.218881588078172, -77.03670947287328 -12.226661191058628, -77.0275181425648 -12.226661191058628, -77.02292247741056 -12.218881588078172))"
zona_062,"POLYGON((-77.00913412834659 -12.211101985097716, -77.01372965841877 -12.20332238211726, -77.0229207185631 -12.20332238211726, -77.02751624863528 -12.211101985097716, -77.0229207185631 -12.218881588078172, -77.01372965841877 -12.218881588078172, -77.00913412834659 -12.211101985097716))"
zona_063,"POLYGON((-76.99534523895436 -12.218881588078172, -76.9999409041086 -12.211101985097716, -77.00913223441708 -12.211101985097716, -77.01372789957132 -12.218881588078172, -77.00913223441708 -12.226661191058628, -76.9999409041086 -12.226661191058628, -76.99534523895436 -12.218881588078172))"
zona_064,"POLYGON((-76.9815568898904 -12.211101985097716, -76.98615241996258 -12.20332238211726, -76.99534348010691 -12.20332238211726, -76.99993901017909 -12.211101985097716, -76.99534348010691 -12.218881588078172, -76.98615241996258 -12.218881588078172, -76.9815568898904 -12.211101985097716))"
zona_065,"POLYGON((-76.96776800049817 -12.218881588078172, -76.97236366565241 -12.211101985097716, -76.98155499596089 -12.211101985097716, -76.98615066111513 -12.218881588078172, -76.98155499596089 -12.226661191058628, -76.97236366565241 -12.226661191058628, -76.96776800049817 -12.218881588078172))"
zona_066,"POLYGON((-76.95397965143421 -12.211101985097716, -76.95857518150639 -12.20332238211726, -76.96776624165072 -12.20332238211726, -76.9723617717229 -12.211101985097716, -76.96776624165072 -12.218881588078172, -76.95857518150639 -12.218881588078172, -76.95397965143421 -12.211101985097716))"
zona_067,"POLYGON((-76.94019076204198 -12.218881588078172, -76.94478642719622 -12.211101985097716, -76.9539777575047 -12.211101985097716, -76.95857342265894 -12.218881588078172, -76.9539777575047 -12.226661191058628, -76.94478642719622 -12.226661191058628, -76.94019076204198 -12.218881588078172))"
zona_068,"POLYGON((-76.92640241297802 -12.211101985097716, -76.9309979430502 -12.20332238211726, -76.94018900319453 -12.20332238211726, -76.94478453326671 -12.211101985097716, -76.94018900319453 -12.218881588078172, -76.9309979430502 -12.218881588078172, -76.92640241297802 -12.211101985097716))"
zona_069,"POLYGON((-76.91261352358579 -12.218881588078172, -76.91720918874003 -12.211101985097716, -76.92640051904851 -12.211101985097716, -76.93099618420275 -12.218881588078172, -76.92640051904851 -12.226661191058628, -76.91720918874003 -12.226661191058628, -76.91261352358579 -12.218881588078172))"
zona_070,"POLYGON((-76.89882517452182 -12.211101985097716, -76.903420704594 -12.20332238211726, -76.91261176473833 -12.20332238211726, -76.91720729481051 -12.211101985097716, -76.91261176473833 -12.218881588078172, -76.903420704594 -12.218881588078172, -76.89882517452182 -12.211101985097716))"
zona_071,"POLYGON((-76.88503628512959 -12.218881588078172, -76.88963195028383 -12.211101985097716, -76.89882328059231 -12.211101985097716, -76.90341894574655 -12.218881588078172, -76.89882328059231 -12.226661191058628, -76.88963195028383 -12.226661191058628, -76.88503628512959 -12.218881588078172))"
zona_072,"POLYGON((-76.87124793606563 -12.211101985097716, -76.87584346613781 -12.20332238211726, -76.88503452628214 -12.20332238211726, -76.88963005635432 -12.211101985097716, -76.88503452628214 -12.218881588078172, -76.87584346613781 -12.218881588078172, -76.87124793606563 -12.211101985097716))"
zona_073,"POLYGON((-76.8574590466734 -12.218881588078172, -76.86205471182764 -12.211101985097716, -76.87124604213612 -12.211101985097716, -76.87584170729036 -12.218881588078172, -76.87124604213612 -12.226661191058628, -76.86205471182764 -12.226661191058628, -76.8574590466734 -12.218881588078172))"
zona_074,"POLYGON((-76.84367069760944 -12.211101985097716, -76.84826622768162 -12.20332238211726, -76.85745728782595 -12.20332238211726, -76.86205281789813 -12.211101985097716, -76.85745728782595 -12.218881588078172, -76.84826622768162 -12.218881588078172, -76.84367069760944 -12.211101985097716))"
