hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi
zona_000018,"POLYGON ((-71.69591301624388 -16.416110198509774, -71.69825423502074 -16.412220397019546, -71.70293667257447 -16.412220397019546, -71.70527789135133 -16.416110198509774, -71.70293667257447 -16.42, -71.69825423502074 -16.42, -71.69591301624388 -16.416110198509774))",-16.416110198509774,-71.7005954537976,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000019,"POLYGON ((-71.68888912573854 -16.42, -71.69123039135035 -16.416110198509774, -71.69591292257398 -16.416110198509774, -71.69825418818579 -16.42, -71.69591292257398 -16.42388980149023, -71.69123039135035 -16.42388980149023, -71.68888912573854 -16.42))",-16.42,-71.69357165696216,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000020,"POLYGON ((-71.681865422573 -16.416110198509774, -71.68420664134986 -16.412220397019546, -71.68888907890359 -16.412220397019546, -71.69123029768045 -16.416110198509774, -71.68888907890359 -16.42, -71.68420664134986 -16.42, -71.681865422573 -16.416110198509774))",-16.416110198509774,-71.68654786012672,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000021,"POLYGON ((-71.67484153206767 -16.42, -71.67718279767948 -16.416110198509774, -71.68186532890311 -16.416110198509774, -71.68420659451492 -16.42, -71.68186532890311 -16.42388980149023, -71.67718279767948 -16.42388980149023, -71.67484153206767 -16.42))",-16.42,-71.6795240632913,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000022,"POLYGON ((-71.66781782890213 -16.416110198509774, -71.670159047679 -16.412220397019546, -71.67484148523272 -16.412220397019546, -71.67718270400958 -16.416110198509774, -71.67484148523272 -16.42, -71.670159047679 -16.42, -71.66781782890213 -16.416110198509774))",-16.416110198509774,-71.67250026645586,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000023,"POLYGON ((-71.66079393839681 -16.42, -71.66313520400861 -16.416110198509774, -71.66781773523225 -16.416110198509774, -71.67015900084405 -16.42, -71.66781773523225 -16.42388980149023, -71.66313520400861 -16.42388980149023, -71.66079393839681 -16.42))",-16.42,-71.66547646962043,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000024,"POLYGON ((-71.65377023523126 -16.416110198509774, -71.65611145400813 -16.412220397019546, -71.66079389156185 -16.412220397019546, -71.66313511033871 -16.416110198509774, -71.66079389156185 -16.42, -71.65611145400813 -16.42, -71.65377023523126 -16.416110198509774))",-16.416110198509774,-71.65845267278499,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000025,"POLYGON ((-71.64674634472593 -16.42, -71.64908761033773 -16.416110198509774, -71.65377014156137 -16.416110198509774, -71.65611140717317 -16.42, -71.65377014156137 -16.42388980149023, -71.64908761033773 -16.42388980149023, -71.64674634472593 -16.42))",-16.42,-71.65142887594955,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000026,"POLYGON ((-71.81531765609084 -16.412220397019546, -71.81765882804541 -16.408330595529318, -71.82234117195458 -16.408330595529318, -71.82468234390915 -16.412220397019546, -71.82234117195458 -16.416110198509774, -71.81765882804541 -16.416110198509774, -71.81531765609084 -16.412220397019546))",-16.412220397019546,-71.82,AREQUIPA,AREQUIPA,LA JOYA,True,0,0
zona_000027,"POLYGON ((-71.80829395287465 -16.408330595529318, -71.8106350780196 -16.40444079403909, -71.8153173283095 -16.40444079403909, -71.81765845345446 -16.408330595529318, -71.8153173283095 -16.412220397019546, -71.8106350780196 -16.412220397019546, -71.80829395287465 -16.408330595529318))",-16.408330595529318,-71.81297620316455,AREQUIPA,AREQUIPA,LA JOYA,True,0,0
