zone_name,geometry,ccdd,nombdep,ccpp,nombprov,ccdi,nombdist,capital,ubigeo,idprov,codigo,cnt_ccpp,descripcio,poblacion,fecha,dat_pob,pobreza,internet_access,edad,tam,rmapshaperid
zona_412,"POLYGON ((-11.99327310164493 -77.00914161779835, -11.985493498664473 -77.01373340314464, -11.985493498664473 -77.02291697383723, -11.99327310164493 -77.02750875918352, -12.001052704625385 -77.02291697383723, -12.001052704625385 -77.01373340314464, -11.99327310164493 -77.00914161779835))",15,LIMA,1,LIMA,32,SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,150132,1501,150132,1,SAN JUAN DE LURIGANCHO,1150470,2020,INEI,17.7,80.2,80.0,607491,1413
zona_413,"POLYGON ((-12.001052704625385 -76.99535273358518, -11.99327310164493 -76.99994465142402, -11.99327310164493 -77.00912848710166, -12.001052704625385 -77.0137204049405, -12.008832307605841 -77.00912848710166, -12.008832307605841 -76.99994465142402, -12.001052704625385 -76.99535273358518))",15,LIMA,1,LIMA,32,SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,150132,1501,150132,1,SAN JUAN DE LURIGANCHO,1150470,2020,INEI,17.7,80.2,80.0,607491,1413
zona_414,"POLYGON ((-11.99327310164493 -76.98156437934216, -11.985493498664473 -76.98615616468845, -11.985493498664473 -76.99533973538104, -11.99327310164493 -76.99993152072733, -12.001052704625385 -76.99533973538104, -12.001052704625385 -76.98615616468845, -11.99327310164493 -76.98156437934216))",15,LIMA,1,LIMA,32,SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,150132,1501,150132,1,SAN JUAN DE LURIGANCHO,1150470,2020,INEI,17.7,80.2,80.0,607491,1413
zona_415,"POLYGON ((-12.001052704625385 -76.96777549512899, -11.99327310164493 -76.97236741296783, -11.99327310164493 -76.98155124864547, -12.001052704625385 -76.98614316648431, -12.008832307605841 -76.98155124864547, -12.008832307605841 -76.97236741296783, -12.001052704625385 -76.96777549512899))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_415,"POLYGON ((-12.001052704625385 -76.96777549512899, -11.99327310164493 -76.97236741296783, -11.99327310164493 -76.98155124864547, -12.001052704625385 -76.98614316648431, -12.008832307605841 -76.98155124864547, -12.008832307605841 -76.97236741296783, -12.001052704625385 -76.96777549512899))",15,LIMA,1,LIMA,32,SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,150132,1501,150132,1,SAN JUAN DE LURIGANCHO,1150470,2020,INEI,17.7,80.2,80.0,607491,1413
zona_415,"POLYGON ((-12.001052704625385 -76.96777549512899, -11.99327310164493 -76.97236741296783, -11.99327310164493 -76.98155124864547, -12.001052704625385 -76.98614316648431, -12.008832307605841 -76.98155124864547, -12.008832307605841 -76.97236741296783, -12.001052704625385 -76.96777549512899))",15,LIMA,1,LIMA,44,SANTA MARIA DE HUACHIPA /1,SANTA MARIA,150144,1501,150144,1,SANTA MARIA,32826,2020,INEI,7.1,80.2,80.0,19566,1873
zona_416,"POLYGON ((-11.99327310164493 -76.95398714088597, -11.985493498664473 -76.95857892623226, -11.985493498664473 -76.96776249692485, -11.99327310164493 -76.97235428227114, -12.001052704625385 -76.96776249692485, -12.001052704625385 -76.95857892623226, -11.99327310164493 -76.95398714088597))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_416,"POLYGON ((-11.99327310164493 -76.95398714088597, -11.985493498664473 -76.95857892623226, -11.985493498664473 -76.96776249692485, -11.99327310164493 -76.97235428227114, -12.001052704625385 -76.96776249692485, -12.001052704625385 -76.95857892623226, -11.99327310164493 -76.95398714088597))",15,LIMA,1,LIMA,32,SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,150132,1501,150132,1,SAN JUAN DE LURIGANCHO,1150470,2020,INEI,17.7,80.2,80.0,607491,1413
zona_416,"POLYGON ((-11.99327310164493 -76.95398714088597, -11.985493498664473 -76.95857892623226, -11.985493498664473 -76.96776249692485, -11.99327310164493 -76.97235428227114, -12.001052704625385 -76.96776249692485, -12.001052704625385 -76.95857892623226, -11.99327310164493 -76.95398714088597))",15,LIMA,1,LIMA,44,SANTA MARIA DE HUACHIPA /1,SANTA MARIA,150144,1501,150144,1,SANTA MARIA,32826,2020,INEI,7.1,80.2,80.0,19566,1873
zona_417,"POLYGON ((-12.001052704625385 -76.9401982566728, -11.99327310164493 -76.94479017451164, -11.99327310164493 -76.95397401018928, -12.001052704625385 -76.95856592802812, -12.008832307605841 -76.95397401018928, -12.008832307605841 -76.94479017451164, -12.001052704625385 -76.9401982566728))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_417,"POLYGON ((-12.001052704625385 -76.9401982566728, -11.99327310164493 -76.94479017451164, -11.99327310164493 -76.95397401018928, -12.001052704625385 -76.95856592802812, -12.008832307605841 -76.95397401018928, -12.008832307605841 -76.94479017451164, -12.001052704625385 -76.9401982566728))",15,LIMA,1,LIMA,44,SANTA MARIA DE HUACHIPA /1,SANTA MARIA,150144,1501,150144,1,SANTA MARIA,32826,2020,INEI,7.1,80.2,80.0,19566,1873
zona_418,"POLYGON ((-11.99327310164493 -76.92640990242978, -11.985493498664473 -76.93100168777607, -11.985493498664473 -76.94018525846866, -11.99327310164493 -76.94477704381495, -12.001052704625385 -76.94018525846866, -12.001052704625385 -76.93100168777607, -11.99327310164493 -76.92640990242978))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_419,"POLYGON ((-12.001052704625385 -76.91262101821661, -11.99327310164493 -76.91721293605545, -11.99327310164493 -76.9263967717331, -12.001052704625385 -76.93098868957193, -12.008832307605841 -76.9263967717331, -12.008832307605841 -76.91721293605545, -12.001052704625385 -76.91262101821661))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_419,"POLYGON ((-12.001052704625385 -76.91262101821661, -11.99327310164493 -76.91721293605545, -11.99327310164493 -76.9263967717331, -12.001052704625385 -76.93098868957193, -12.008832307605841 -76.9263967717331, -12.008832307605841 -76.91721293605545, -12.001052704625385 -76.91262101821661))",15,LIMA,1,LIMA,44,SANTA MARIA DE HUACHIPA /1,SANTA MARIA,150144,1501,150144,1,SANTA MARIA,32826,2020,INEI,7.1,80.2,80.0,19566,1873
zona_420,"POLYGON ((-11.99327310164493 -76.89883266397358, -11.985493498664473 -76.90342444931987, -11.985493498664473 -76.91260802001246, -11.99327310164493 -76.91719980535875, -12.001052704625385 -76.91260802001246, -12.001052704625385 -76.90342444931987, -11.99327310164493 -76.89883266397358))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_421,"POLYGON ((-12.001052704625385 -76.88504377976041, -11.99327310164493 -76.88963569759925, -11.99327310164493 -76.89881953327689, -12.001052704625385 -76.90341145111573, -12.008832307605841 -76.89881953327689, -12.008832307605841 -76.88963569759925, -12.001052704625385 -76.88504377976041))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_422,"POLYGON ((-11.99327310164493 -76.87125542551739, -11.985493498664473 -76.87584721086368, -11.985493498664473 -76.88503078155627, -11.99327310164493 -76.88962256690256, -12.001052704625385 -76.88503078155627, -12.001052704625385 -76.87584721086368, -11.99327310164493 -76.87125542551739))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_423,"POLYGON ((-12.001052704625385 -76.85746654130422, -11.99327310164493 -76.86205845914306, -11.99327310164493 -76.8712422948207, -12.001052704625385 -76.87583421265954, -12.008832307605841 -76.8712422948207, -12.008832307605841 -76.86205845914306, -12.001052704625385 -76.85746654130422))",15,LIMA,1,LIMA,3,ATE,VITARTE,150103,1501,150103,1,ATE,642828,2020,INEI,17.2,80.2,80.0,341500,1463
zona_423,"POLYGON ((-12.001052704625385 -76.85746654130422, -11.99327310164493 -76.86205845914306, -11.99327310164493 -76.8712422948207, -12.001052704625385 -76.87583421265954, -12.008832307605841 -76.8712422948207, -12.008832307605841 -76.86205845914306, -12.001052704625385 -76.85746654130422))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_424,"POLYGON ((-11.99327310164493 -76.8436781870612, -11.985493498664473 -76.8482699724075, -11.985493498664473 -76.85745354310008, -11.99327310164493 -76.86204532844637, -12.001052704625385 -76.85745354310008, -12.001052704625385 -76.8482699724075, -11.99327310164493 -76.8436781870612))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_425,"POLYGON ((-12.001052704625385 -76.82988930284803, -11.99327310164493 -76.83448122068687, -11.99327310164493 -76.84366505636451, -12.001052704625385 -76.84825697420335, -12.008832307605841 -76.84366505636451, -12.008832307605841 -76.83448122068687, -12.001052704625385 -76.82988930284803))",15,LIMA,1,LIMA,3,ATE,VITARTE,150103,1501,150103,1,ATE,642828,2020,INEI,17.2,80.2,80.0,341500,1463
zona_425,"POLYGON ((-12.001052704625385 -76.82988930284803, -11.99327310164493 -76.83448122068687, -11.99327310164493 -76.84366505636451, -12.001052704625385 -76.84825697420335, -12.008832307605841 -76.84366505636451, -12.008832307605841 -76.83448122068687, -12.001052704625385 -76.82988930284803))",15,LIMA,1,LIMA,7,CHACLACAYO,CHACLACAYO,150107,1501,150107,1,CHACLACAYO,46242,2020,INEI,9.75,80.2,80.0,26777,1464
zona_425,"POLYGON ((-12.001052704625385 -76.82988930284803, -11.99327310164493 -76.83448122068687, -11.99327310164493 -76.84366505636451, -12.001052704625385 -76.84825697420335, -12.008832307605841 -76.84366505636451, -12.008832307605841 -76.83448122068687, -12.001052704625385 -76.82988930284803))",15,LIMA,1,LIMA,18,LURIGANCHO,CHOSICA,150118,1501,150118,1,LURIGANCHO,230978,2020,INEI,18.2,80.2,80.0,121224,806
zona_428,"POLYGON ((-11.985493498664473 -77.1332394556517, -11.977713895684017 -77.13783110859775, -11.977713895684017 -77.14701441448987, -11.985493498664473 -77.15160606743592, -11.99327310164493 -77.14701441448987, -11.99327310164493 -77.13783110859775, -11.985493498664473 -77.1332394556517))",7,CALLAO,1,CALLAO,1,CALLAO,CALLAO,70101,701,70101,1,CALLAO,521346,2020,INEI,14.2,77.6,77.1,267627,221
zona_429,"POLYGON ((-11.977713895684015 -77.11945110103952, -11.96993429270356 -77.12404262167762, -11.96993429270356 -77.13322566295382, -11.977713895684015 -77.13781718359192, -11.985493498664471 -77.13322566295382, -11.985493498664471 -77.12404262167762, -11.977713895684015 -77.11945110103952))",7,CALLAO,1,CALLAO,1,CALLAO,CALLAO,70101,701,70101,1,CALLAO,521346,2020,INEI,14.2,77.6,77.1,267627,221
zona_430,"POLYGON ((-11.985493498664473 -77.1056622171955, -11.977713895684017 -77.11025387014155, -11.977713895684017 -77.11943717603367, -11.985493498664473 -77.12402882897972, -11.99327310164493 -77.11943717603367, -11.99327310164493 -77.11025387014155, -11.985493498664473 -77.1056622171955))",7,CALLAO,1,CALLAO,1,CALLAO,CALLAO,70101,701,70101,1,CALLAO,521346,2020,INEI,14.2,77.6,77.1,267627,221
zona_430,"POLYGON ((-11.985493498664473 -77.1056622171955, -11.977713895684017 -77.11025387014155, -11.977713895684017 -77.11943717603367, -11.985493498664473 -77.12402882897972, -11.99327310164493 -77.11943717603367, -11.99327310164493 -77.11025387014155, -11.985493498664473 -77.1056622171955))",15,LIMA,1,LIMA,35,SAN MARTIN DE PORRES,BARRIO OBRERO INDUSTRIAL,150135,1501,150135,1,SAN MARTIN DE PORRES,740749,2020,INEI,10.35,80.2,80.0,426075,870
zona_431,"POLYGON ((-11.977713895684015 -77.09187386258331, -11.96993429270356 -77.09646538322141, -11.96993429270356 -77.10564842449762, -11.977713895684015 -77.11023994513572, -11.985493498664471 -77.10564842449762, -11.985493498664471 -77.09646538322141, -11.977713895684015 -77.09187386258331))",15,LIMA,1,LIMA,35,SAN MARTIN DE PORRES,BARRIO OBRERO INDUSTRIAL,150135,1501,150135,1,SAN MARTIN DE PORRES,740749,2020,INEI,10.35,80.2,80.0,426075,870
zona_432,"POLYGON ((-11.985493498664473 -77.07808497873931, -11.977713895684017 -77.08267663168536, -11.977713895684017 -77.09185993757748, -11.985493498664473 -77.09645159052353, -11.99327310164493 -77.09185993757748, -11.99327310164493 -77.08267663168536, -11.985493498664473 -77.07808497873931))",15,LIMA,1,LIMA,17,LOS OLIVOS,LAS PALMERAS,150117,1501,150117,1,LOS OLIVOS,362222,2020,INEI,7.9,80.2,80.0,214042,229
